"","ID.Title","job_total","joboverviewoverview_total"
"job30","840811	distinguished data scientist san bruno ca""","• 10+ years of experience with PhD in computer science, statistics, or operations research or related technical discipline• Deep knowledge of machine learning, statistics, optimization or related field• Experience with R, Python, Matlab is required• Experience in C, C++, Java• Experience working with large data sets and distributed computing tools a plus (Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.)• Excellent written and verbal communication skills along with strong desire to work in cross functional teams• Inventory planning and other supply chain experience in an online and/or retail environment is preferredAttitude to thrive in a fun, fast-paced start-up like environment","    The Customer Promise team is building Walmart’s next gen supply chain to ensure that online customers receive their products when and where they want them.  When our unmatched assets in retail are combined with our commitment to building best-in-class e-commerce capabilities, we’re positioned to serve customers in ways no one else can.  We are a highly motivated group of big data geeks, data scientists, and application engineers that work together to fulfill hundreds of millions of orders and ensure that customers are delighted.Distinguished Data Scientist is responsible for participating in business strategy sessions with the business to determine long-term vision and provide analytical support and guidance. A Distinguished Data Scientist provides oversight to a project team to analyze large data sets to develop multiple, complex custom models and algorithms to drive innovative business solutions. You will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting edge algorithms.  Responsibilities include:• Develop models and algorithms that drive innovation throughout the supply chain.  This may include inventory planning and deployment, network planning, order routing, and order fulfillment and delivery.• Conduct advanced statistical analysis to provide actionable insights, identify trends, and measure performance• Build learning systems that monitor data flows and react to changes in customer preferences, network constraints, and business objectives• Collaborate with engineers to implement and deploy scalable solutions• Provide thought leadership by researching best practices, conducting experiments, and collaborating with industry leaders  "
"job31","890961	senior data scientist bentonville ar""","Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 10 years experience in an analytics related field OR Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 8 years experience in an analytics related field.","    Walmart is seeking an outstanding Sr. Data Scientist for our Global Business Services Data Science team.The ideal candidate profile includes post-graduate work in computer science, statistics, math or engineering and professional experience with large scale machine learning implementations.  Strong background in training and deploying deep neural networks is preferred.  Successful candidates will possess strong communication skills including the ability to describe abstract computer science topics/techniques in colloquial terms.  Come join a dynamic group of scientists developing breakthrough capabilities in retail, creating new scientific approaches, and innovating solutions using state-of-the-art technology – at Walmart scale!Consults with business stakeholders on data-based insightsDrives strategies for analytics across the divisionDrives the execution of multiple business plans and projectsEnsures business needs are being metLeads multiple large-scale analytic project teamsLeads the continuous improvement of data science and analyticsPromotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvides supervision and development opportunities for associates "
"job32","872453	machine learning data scientist sunnyvale ca""","Minimum Qualifications- Masters or equivalent degree in a computational science with 4+ years of experience in Machine Learning or Data Science or PhD with 2+ yrs of relevant exp- Experience with traditional as well as modern statistical techniques, including Regression, Support Vector Machines, Regularization, Boosting, Random Forests, and other Ensemble Methods;- Strong implementation experience with high-level languages, such as R, Python, Perl, Ruby, Scala or similar scripting languages;- Familiarity with Linux/Unix/Shell environments;- Strong hands-on skills in sourcing, cleaning, manipulating and analyzing large volumes of data;- Strong written and oral communication skills.","    Machine Learning ScientistPosition SummaryIf you were given the opportunity to paint the future of ecommerce on a canvas of over 1 billion consumers and had the strength of the Fortune 1 Company behind you, what would it look like?@WalmartLabs, Silicon Valley’s newest development lab, we’re working on this exact challenge. Our mission is simple: innovate on retail with new technologies to revolutionize how Walmart approaches digital commerce.This position is part of the Growth organization in @WalmartLabs. The mission of the Growth organization is to advance Walmart eCommerce by driving higher value for our customers and vendor partners. We are seeking talented and self-driven individuals to join the Walmart Performance Ads team. The Walmart Performance Ads team owns the platform that enhances user experience while improving monetization on http://walmart.com, by displaying contextual and targeted product advertisements to our customers. The team operates an end to end advertising platform that includes a scalable ad service that serves hundreds of millions of impressions each day, sophisticated ad matching algorithms, real-time reports, and ad targeting and optimization. Come join an organization where you'll get to work as part of a world-class team, solve problems that are at a scale few can create, and get to build products that are only bound by the scope of your imagination. Put your footprint on ground up development focused on building brand new products that will impact a Global customer base.We are looking for outstanding machine learning research scientists whose skills span the entire spectrum of Machine Learning/Data-Science research, i.e. data-gathering/cleaning, modeling, implementation, publication and presentation. In particular we are seeking researchers with the following skills and experience to contribute to Growth in driving the future of ad targeting, personalization, content extraction, content matching and other prediction problems.Position DescriptionJoin us if you want to be spending your time on: - Gathering and analyzing data, identifying key prediction/classification problems, devising solutions and building prototypes;- Formulating machine learning approaches while paying attention to business metrics, designing features from the rich data available from many sources, training, evaluating, and deploying models;- Researching and implementing methodologies to measure the impact of the technologies;- Initiating and proposing unique and promising modeling projects, developing new and innovative algorithms and technologies, pursuing patents where appropriate;- Developing high-performance algorithms for precision targeting, testing and implementing these algorithms in scalable, product-ready code; Interacting with other teams to define interfaces and understanding and resolving dependencies;- Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and engineers in the organization;- Maintaining world-class academic credentials through publications, presentations, external collaborations and service to the research community.  "
"job33","905893	data scientist search team sunnyvale ca""","PhD in information retrieval, Data mining, Machine learning, NLP, Statistics or related areas- Programming experience in either Python or JAVA- Strong understanding of one of probability-statistics/optimization/linear algebra","    • A Data Scientist is responsible for analyzing large data sets to develop custom models and algorithms to drive business solutions. Data Scientists work on project teams in order to provide analytical support to projects (for example, email targeting, business optimization, consumer recommendations) for Walmart eCommerce. Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics. Those algorithms will be tested, validated, and applied to large data sets. Data Scientists are responsible for training the algorithms so they can be applied to future data sets and provide the appropriate search results. Data Scientists are responsible for researching new trends in the industry and utilizing up-to-date technology (for example, HBase, MapReduce, LAPack, Gurobi) and analytical skills to support their assigned project.• Build complex data sets from multiple data sources, both internally and externally.• Build learning systems to analyze and filter continuous data flows and offline data analysis.• Combine data features to determine search models.• Conduct advanced statistical analysis to determine trends and significant data relationships.• Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans• Develop custom data models to drive innovative business solutions.• Develop models of current state in order to determine needed improvements.• Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity• Provides and supports the implementation of business solutions• Research new techniques and best practices within the industry.• Scale new algorithms to large data sets.• Train algorithms to apply models to new data sets.• Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).• Validate models and algorithmic techniques.Work with cross-functional partners across the business  "
"job34","851630	data scientist isd bentonville ar""","Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 9 years experience in an analytics related field OR Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 7 years experience in an analytics related field.","    Walmart Labs is seeking outstanding technologists for our Walmart Labs Retail Data Science team.The mission of the Retail Data Science team:“WE ENGINEER SYSTEMS OF INTELLIGENCE AND ACTION TO AUTOMATE RETAIL DECISIONS AT SCALE”The team creates value for Walmart customers through researching and building complex, cutting edge, and scalable algos, models, platforms, and technologies.  Our team of high caliber engineers, scientists, mathematicians, and statisticians develop rigorous quantitative methods to build efficient and effective algorithms that optimize decisions. We employ the wealth of Walmart data to build this portfolio of AI/ML models in a rapid test, learn, modify cycle.  Our product teams include our business partners – directly.  We see the outcomes of our work to enhance decisions every day.We are seeking experts adept at partnering with the business, growing talented teams, and building capability development in tech. The ideal leader will combine expertise in AI/ML/Open Source/Tech knowledge, hands-on experience in algorithm planning, engineering, strategic capability development in AI/ML, and imparting keen understanding of revenue models and value creation.The successful candidate will join a dynamic group of scientists developing breakthrough capabilities in retail, creating new scientific approaches, and innovating solutions using state-of-the-art technology – at Walmart scale.Consults with business stakeholders regarding data insights and recommendationsDrives analytics insights across the divisionDrives the execution of multiple business plans and projectsEnsures business needs are being metLeads medium- to large-sized analytics project teamsManages the continuous improvement of data science and analyticsPromotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvides supervision and development opportunities for associates "
"job35","872770	data assurance researcher cybersecurity wmtech bentonville ar""","1 year's experience working on task automation (for example, .Net, Batch/Shell scripting, SQL script, VBA). 2 years' experience working with MS Office developing macros or using advanced functions (for example, Vlookup, PivotCharts/Tables).  Bachelor s degree in Computer Science, Information Technology, Engineering, Computer Information Systems, or related field and 3 years' experience in information technology or related field within the last 7 years OR 5 years' experience in information technology or related field within the last 7 years.","    Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops and implements data loss prevention system solutions and changesIdentifies and implements data loss prevention solutionsLeads and participates in team tasksModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityMonitors data movementProvides and supports the implementation of business solutionsSupports data security "
"job36","870437	data assurance analyst iii cybersecurity wmtech bentonville ar""","2 years' experience working with (T)SQL in various DBMS platforms.  2 years' experience working with MS Office developing macros or using advanced functions (for example, Vlookup, PivotCharts/Tables). Bachelor s degree in Computer Science, Information Technology, Engineering, Computer Information Systems, or related field and 1 and 1/2 years' experience in information technology or related field within the last 5 years OR 3 years' experience in information technology or related field within the last 5 years OR a Master's degree in Computer Science, Information Technology, Engineering, Computer Information Systems, or related field.","    Coordinates data loss prevention system changes with customers and other system areasDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops and implements data loss prevention system solutionsModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityMonitors data movementParticipates in team tasksProvides and supports the implementation of business solutionsSupports data security "
"job37","867746	associate data scientist isd bentonville ar""","Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 7 years experience in an analytics related field OR Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 5 years experience in an analytics related field.","    Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops analytical models to drive analytic insightsLeads small and participates in large data analytics project teamsManages the continuous improvement of data science and analyticsModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityPresents data insights and recommendations to key stakeholdersProvides and supports the implementation of business solutions "
"job38","835513	associate data scientist machine learning austin tx""","Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 7 years experience in an analytics related field OR Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 5 years experience in an analytics related field.","    Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops analytical models to drive analytic insightsLeads small and participates in large data analytics project teamsManages the continuous improvement of data science and analyticsModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityPresents data insights and recommendations to key stakeholdersProvides and supports the implementation of business solutions "
"job39","931213	principal software engineer big data systems sunnyvale ca""","• Bachelor's degree in Computer Science or related technical field.• 7+ years of object oriented programming experience in Java, Scala or similar language.• 5+ years of experience in building of large scale data pipelines using big data technologies (i.e. Spark/Kafka/Cassandra/Hadoop/Hive/Pig).• 5+ years of experience in systems design, algorithms, and distributed systems.• 4+ years of experience in Python or Ruby, and SQL.#LI-JN1","    As a Principal Software Engineer, you'll be responsible for design, development and operations of large-scale data systems operating at petabytes scale. You will be focusing on real-time indexing pipelines, streaming analytics, distributed machine learning infrastructure and other tasks as part of Search BigData team. Responsibilities include:• Design, develop, and implement large-scale distributed systems that process large volume of data; focusing on scalability, latency, and fault-tolerance in every system built.• Design, develop, and operate web analytics solutions processing billions on daily clickstream events.• Create systems that orchestrate and execute complex workflows in big-data pipelines.• Evaluate and fine tune systems for speed, robustness, and cost efficiency.• Create datasets, tools, and services supporting big data, search and machine learning operations.• Own full life-cycle of business solutions – from requirements definition to launching in production.• Troubleshoot business and production issues.• Own multiple systems across the search big data platforms, and work with engineers, program managers, and engineering leaders to identify opportunities for business impact.• Participate in setting a vision and objectives for the team in alignment with business and market needs.Why you will love this job:• Making an immediate impact on a global scale.• Grow your career by being a key contributor on systems that runs on largest internet scale and process billions of data points daily.• Work with many cutting edge technologies, including big data, search, machine learning, containers at Walmart scale.• Work alongside experts in search, big data, machine learning, analytics, and software engineering.#LI-JN1  "
"job40","912902	senior big data tools engineer sunnyvale ca""","Bachelor's Degree in Computer Science or related field and 5 years of experience building scalable data warehouse applications and frameworks that enable ease of development.5+ years of experience with object oriented programming languages like Java, C++.3+ years of experience with functional programming like Scala, python.3+ years of experience with distributed data stores and computing including map reduce, pig, hive.3+ years of experience with modern development tools such as Eclipse.2 years of experience developing with web/app containers such as Web Logic, Web Sphere, Apache/Tomcat, Jboss etc.2 years of experience developing with a multi-tenant or “Software-as-a-Service” (SaaS) ecommerce application2 years of experience building web services over huge volume of data.2 years of development experience and deep understanding of Apache Kafka, Spark, Spark Streaming, Spark, Cassandra, Map Reduce , Hive2 years implementing open source technologies and supporting them.2 years implementing micro service architecture and service oriented architecture.2 years implementing Transaction processing systems with application programing interface, web services using apache CXF, and java messaging services JMS.2 years Implementation of highly available customer facing system using web technologies like JSP, Node js, MVC architecture.4+ years experience managing applications and Web Services in a Linux environment.2+ years of experience authoring SQL using relational databases like MySQL, Oracle, Greenplum, Netezza, or Teradata data2+ years experience with in memory data stores like DRUID.","    We are a team of data scientists, systems and application engineers working on using the power of real time predictive analytics to change the future of ecommerce. And what place better to do it than at the Fortune 1 Company with over a billion consumers? Our team is responsible for applying real time predictive analytics to a wide range of problems spanning the entire ecommerce experience with an initial emphasis on transactional risk and fraud. We are a high-performance team looking for others who will challenge us to become even better: come be the newest member of @Labs here at Walmart Global eCommerce!As a Senior Big-Data Tools Engineer, you'll be responsible for peta bytes scale e-commerce data application development, tools development and maintenance. You'll interact with the engineers, product managers and architects to provide scalable robust technical solutions to business and data engineering challenges.Control your own destiny by being part of a small team and deliver innovative and useful products. Essentially you have the whole canvas for you to paint a picture.  "
"job41","933905	sr director retail data science san bruno ca""","5 years of supervisory experience.Bachelor's degree in Information Technology, Computer Science or related field and 9 years experience in information technology or related field within the past 18 yearsMaster's degree in Information Technology, Computer Science or related field and 7 years experience in information technology or related field within the past 18 years.PhD degree in Information Technology, Computer Science or related field and 5 years experience in information technology or related field within the past 18 years.","    Walmart Labs is seeking outstanding hands-on leaders for our Walmart Labs Retail Data Science team. The mission of the Retail Data Science team:  “WE ENGINEER SYSTEMS OF INTELLIGENCE AND ACTION TO AUTOMATE RETAIL DECISIONS AT SCALE” The team creates value for Walmart customers through researching and building complex, cutting edge, and scalable algos, models, platforms, and technologies. Our team of high caliber engineers, scientists, mathematicians, and statisticians develop rigorous quantitative methods to build efficient and effective algorithms that optimize decisions. We employ the wealth of Walmart data to build this portfolio of AI/ML models in a rapid test, learn, modify cycle. Our product teams include our business partners – directly. We see the outcomes of our work to enhance decisions every day. We are seeking people leaders adept at partnering with the business, growing talented teams, and building capability development in tech. The ideal leader will combine expertise in AI/ML/Open Source/Tech knowledge, hands-on experience in algorithm planning, engineering, strategic capability development in AI/ML, and imparting keen understanding of revenue models and value creation. The successful candidate will join a dynamic group of scientists developing breakthrough capabilities in retail, creating new scientific approaches, and innovating solutions using state-of-the-art technology – at Walmart scale.• Experienced professional in Data Science, Machine Learning, Artificial Intelligence, Semantic Technologies, Natural Language Processing, Image Mining, Pattern Recognition on Digital Media, and Information Retrieval from structured, semi-structured, and unstructured data. • Proven experience in Machine Learning, Optimization, and Simulation and knowledge of cognitive computing technologies. Five to ten successfully launched ML projects. •  Experience in projects involving large scale-multi dimensional databases, complex business infrastructure, and cross-functional teams. • Experience in evaluating and making decisions around the use of new or existing tools for a project.  "
"job42","875199	staff data scientist anti fraud sunnyvale ca""","- MS/PhD in Operations Research/Statistics/Computer Science or a related technical discipline- You should have at least seven years’ experience ideally in a Risk or Fraud environment.- Extensive Experience with R, SAS, SPSS, data mining, machine learning, statistical modeling tools and underlying algorithms- Programming experience in one of the languages like Python/Ruby/Perl/Shell/C/Java- Working knowledge of Relational Data Base Systems and SQL- Attitude to thrive in a fun, dynamic start-up environment with stellar team of fellow data geeks","    We are a highly motivated group of Big Data Geeks, Data Scientists and Applications Engineers, working in small agile group to solve this sophisticated problem. We are building smart data systems that ingest, model and analyze massive flow of data from online, social, mobile and offline commerce/user activity to set prices for millions of products in real time. We use state of the art machine learning, data mining and optimization algorithms underneath it all to analyze all this data on top of Hadoop/HBase/Hive. We then build compelling data visualizations and interactive dashboards to showcase our work internally and externally. Your work will be immediately visible to millions of people and you will have a direct impact on the business goals of Fortune #1 company. If you talk, speak and think data we want to talk to you. Come join our small team and be part of the journey from the beginning.THE OPPORTUNITY:- Research, design and implement data models and groundbreaking algorithms to analyze diverse sources of data to predict fraud.- Work with high dimensional and dynamic data to build continually learning systems- Through your work have direct impact on revenue and bottom line#LI-JC1  "
"job43","908651	senior software engineer search big data sunnyvale ca""","• Bachelor's degree in Computer Science or related technical field.• 5+ years of object oriented programming experience in Java, Scala or similar language.• 3+ years of experience in Python or Ruby, and SQL.• 3+ years of experience of big data technologies (i.e.   Spark/Kafka/Cassandra/Hadoop/Hive/PIg) • 3+ years of experience in systems design, algorithms, and distributed   systems.#LI-JN1","    • Design, develop, and implement large-scale distributed systems that process large volume of data; focusing on scalability, latency, and fault-tolerance in every system built.• Design, develop, and operate web analytics solutions processing billions on daily clickstream events.• Create systems that orchestrate and execute complex workflows in big-data pipelines.• Create datasets, tools, and services supporting big data, search and machine learning operations.• Troubleshoot business and production issues.Why you will love this job:• Making an immediate impact on a global scale.• Grow your career by being a key contributor on systems that runs on largest internet scale and process billions of data points daily.• Work with many cutting edge technologies, including big data, search, machine learning, containers at Walmart scale.• Work alongside experts in search, big data, machine learning, analytics, and software engineering.  "
"job44","827039	sr statistic analyst data analytics isd bentonville ar""","Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 5 years experience in an analytics related field OR Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 3 years experience in an analytics related field.","    Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops analytical models to drive analytics insightsLeads small and participates in large data analytics project teamsModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates in the continuous improvement of data science and analyticsPresents data insights and recommendations to key stakeholdersProvides and supports the implementation of business solutions "
"job45","868987	statistical analyst bentonville ar""","Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 3 years experience in an analytics related field, OR 5 years experience in analytics related field, OR a Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 1 year experience in an analytics related field.","    Walmart Labs is seeking outstanding technologists for our Walmart Labs Retail Data Science team.The mission of the Retail Data Science team:“WE ENGINEER SYSTEMS OF INTELLIGENCE AND ACTION TO AUTOMATE RETAIL DECISIONS AT SCALE”The team creates value for Walmart customers through researching and building complex, cutting edge, and scalable algos, models, platforms, and technologies.  Our team of high caliber engineers, scientists, mathematicians, and statisticians develop rigorous quantitative methods to build efficient and effective algorithms that optimize decisions. We employ the wealth of Walmart data to build this portfolio of AI/ML models in a rapid test, learn, modify cycle.  Our product teams include our business partners – directly.  We see the outcomes of our work to enhance decisions every day.We are seeking experts adept at partnering with the business, growing talented teams, and building capability development in tech. The ideal leader will combine expertise in AI/ML/Open Source/Tech knowledge, hands-on experience in algorithm planning, engineering, strategic capability development in AI/ML, and imparting keen understanding of revenue models and value creation.The successful candidate will join a dynamic group of scientists developing breakthrough capabilities in retail, creating new scientific approaches, and innovating solutions using state-of-the-art technology – at Walmart scale.Analyzes data to drive analytics projectsDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates in multiple analytics project teamsPresents data insights to key stakeholdersProvides and supports the implementation of business solutions "
"job46","905876	software engineer iii big data machine learning sunnyvale ca""","•Experience with Java, SOA, Apache Camel, REST, Web-Services, JEE technologies, Spring, Hibernate, Apache Cassandra, Oracle desirable  • Strong aptitude for writing efficient code• Attitude to thrive in a fun, fast-paced start-up like environment• Bachelor's Degree in Computer Science or related field with 0-3 years of experience.","    The Retail Core Technology team of engineers, data scientists and product leaders are responsible for the analytics, tools and platforms to support our merchandizing strategies including competitive intelligence, algorithmic pricing, product catalog, marketplace and product search.We are looking for a Big Data Software Engineer for the Product Catalog team. Are you a self-motivated, passionate engineer with a ""can do"" attitude, who dreams of building great things? If so, we are looking for you. If you are hired, you will be doing one or more of the following: • Participate in the discovery phase of small to medium-sized projects to come up with high level design and creative solutions. • Work on small to large-sized complex projects and build new features and/or capabilities. • Implement highly scalable modules/components for data ingestion, precomputation/analytics pipelines. • Support the implementation of solutions for business use cases. • Follow the engineering best practices and deliver “opensource” like quality code. • Comply with company policies and procedures and support company mission, values, and standards of ethics and integrity• Use your debugging and troubleshooting skills to determine the root causes of issues and resolve them.  "
"job47","891658	advanced systems engineer data center isd bentonville ar""","Bachelor s degree in Computer Science, Information Technology, Engineering, Computer Information Systems, or related field and 3 years experience in information technology or related field within the last 7 years OR 5 years experience in information technology or related field within the last 7 years.","    Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansIdentifies and resolves organizational mission-critical facility (for example, Data Centers, Distribution Centers, Store power systems) infrastructure problemsImplements Company compliance policies and procedures (for example, regulatory safety compliance, hazard control, Sarbanes-Oxley, business continuity)Implements new and innovative business solutionsLeads mission-critical facility infrastructure projects (for example, Data Centers, Distribution Centers, Store power systems)Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityOversees contractor servicesProvides and supports the implementation of business solutionsProvides support services to mission-critical facility infrastructure "
"job48","936597	senior manager customer analytics global insights san bruno ca""","2 years experience supervising others.Bachelor s degree in Statistics, Information Systems, Industrial Engineering, Economics, or related field and 4 years of experience in data analytics or related field OR 6 years of experience in data analytics or related field OR Master's degree in Statistics, Information Systems, Industrial Engineering, Economics, or related field and 2 years of experience in data analytics or related field.","    Drives strategies, processes, projects, and analytical best practices for Global Customer InsightsDrives the execution of multiple business plans and projectsEnsures business needs are being metLeads change from concept to implementation to achieve desired resultsLeads customer insights from concept to implementation to achieve desired resultsPromotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvides data-based insights for business segments'   strategies (for example, Walmart, Sam's   Club, International)Provides supervision and development opportunities for associates "
"job49","930990	2018 summer internship central operations data scientist bentonville ar""","What does it take to be a part of this team? <U+F0A7> Enrolled in an accredited college with cumulative GPA greater than 3.0<U+F0A7> Graduate Student <U+F0A7> Graduating December 2018 or May 2019<U+F0A7> Majoring in Statistics, Mathematics, Data Science, Predictive Analytics or related field<U+F0A7> Needs to understand the Statistical Model","    As the largest employer in the US, we leverage the power of Big Data, Machine Learning, cutting-edge research technology(ies), and the best talent(s) in the industry to define and design how our company captures and delivers data to the business. We are data scientists, machine learners, predictive modelers, and research gurus that work together to make sci-fi real. As a Central Operations intern on the Strategy and Innovations team you’ll have the opportunity to work with industry leaders on Artificial Intelligence, Machine Learning & Augmented Reality. You will be trusted with a critical project and will serve as an integral part of a team responsible for the completion and success of that project. Help us become a better Walmart. What does it take to be a part of this team? <U+F0A7> Enrolled in an accredited college with cumulative GPA greater than 3.0<U+F0A7> Majoring in Statistics, Mathematics, Data Science, Predictive Analytics or related field<U+F0A7> Needs to understand the Statistical ModelWhat’s the deal?<U+F0A7> 10 weeks long<U+F0A7> Competitive compensation<U+F0A7> Complimentary residence and relocation services<U+F0A7> Robust and impactful project<U+F0A7> Networking and mentorship opportunities<U+F0A7> 75% of interns receive an offer for a second internship or full-time position  "
"job50","872239	sr manager analytics and reporting global audits bentonville ar""","Bachelor s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, Business or related field and 5 years  experience in an analytics related field OR Master s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information  Technology or related field and 3 years  experience in an analytics related field OR 7 years  experience in an analytics related field.","    Consults with business stakeholders regarding data insights and recommendationsDrives analytics insights across the divisionDrives the execution of multiple business plans and projectsEnsures business needs are being metLeads Audit analytics project teamsManages the continuous improvement of analyticsPromotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvides supervision and development opportunities for associates "
"job51","905876	software engineer iii big data machine learning sunnyvale ca""","•Experience with Java, SOA, Apache Camel, REST, Web-Services, JEE technologies, Spring, Hibernate, Apache Cassandra, Oracle desirable  • Strong aptitude for writing efficient code• Attitude to thrive in a fun, fast-paced start-up like environment• Bachelor's Degree in Computer Science or related field with 0-3 years of experience.","    The Retail Core Technology team of engineers, data scientists and product leaders are responsible for the analytics, tools and platforms to support our merchandizing strategies including competitive intelligence, algorithmic pricing, product catalog, marketplace and product search.We are looking for a Big Data Software Engineer for the Product Catalog team. Are you a self-motivated, passionate engineer with a ""can do"" attitude, who dreams of building great things? If so, we are looking for you. If you are hired, you will be doing one or more of the following: • Participate in the discovery phase of small to medium-sized projects to come up with high level design and creative solutions. • Work on small to large-sized complex projects and build new features and/or capabilities. • Implement highly scalable modules/components for data ingestion, precomputation/analytics pipelines. • Support the implementation of solutions for business use cases. • Follow the engineering best practices and deliver “opensource” like quality code. • Comply with company policies and procedures and support company mission, values, and standards of ethics and integrity• Use your debugging and troubleshooting skills to determine the root causes of issues and resolve them.  "
"job52","921007	sr data analyst vudu sunnyvale ca""","•         You like answering ""So-What?"" for a given business problem•         You have an advanced degree in a quantitative or computational field (e.g., statistics, econometrics, math, computer science, engineering.) and 2 or more years of industry experience in quantitative analytics, data science, or another similar role•         You are proficient with statistical languages like R and Pandas, relational databases/SQL, and BI tools like Tableau.•         2 years of experience in web analytics, Omniture experience is a big plus.•         You understand experimentation, hypothesis testing, and causal inference#LI-DS1","    •         Support ongoing analysis of business performance trends and insights on drivers required to inform executive decisions on a daily basis.•         Design and build dashboards to monitor and understand topics such as marketing campaign performance, product performance & engagement across devices. •         Create technical specifications for client instrumentation and test logging of events in Omniture•         You will build statistical models, analyze A/B tests results and develop recommendations.  "
"job53","918188	senior taxonomist structured data ho wec wmtech bentonville ar""","5 years experience in retail or related field.Bachelor s degree in Statistics,  Cognitive Science, Library Science, or related field and 5 years experience in technology taxonomy, structure data, online search technology, insights research or related field OR 7 years experience in technology taxonomy, structured data, online search technology, insights research or related field.","    Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDrives business partner relationshipsLeads complex taxonomy and categorization build-out effortsLeads complex taxonomy projectsModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityProvides and supports the implementation of business solutions "
"job54","679949	planner travel sourcing and analytics walmart global travel bentonville ar""","Bachelor's degree in business, accounting, economics, supply chain or related field and 2 years experience in procurement, strategic sourcing, contract management, or related field OR 4 years experience in procurement, strategic sourcing, contract management, or related field.","    THIS POSITION WILL BE A REMOTE ROLE. THIS HIRE WILL BE ABLE TO WORK FROM HOME, FROM ANYWHERE IN THE U.S. OR INTERNATIONALLY.Analyzes travel spending patterns to drive business strategies. Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans. Executes the vendor selection process. Manages continuous improvement in vendor management for assigned category. Manages the analysis and financial planning for vendor management projects. Manages vendor negotiations for assigned products. Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity. Provides and supports the implementation of business solutions.  "
"job55","900679	2018 full time gp programmer analyst data platforms bentonville ar""","Bachelor s degree in Computer Science, Information Technology, or related field and 1 1/2 years experience in information technology within the past 5 years OR 3 1/2 years experience in information technology or related field within the past 5 years OR a Master's degree in Computer Science, Information Technology, or related field.","    Conducts application analysis and design for end usersDemonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plansDevelops team member capabilitiesModels compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrityParticipates on team projectsProvides and supports the implementation of business solutionsSupports Information Systems Division (ISD) applications "
